# x,y,theta,scalar_mag 
-3.0,-1.75,3.008718897243061,41501.55078125 
-2.75,-1.75,3.000511748584778,40704.890625 
-2.5,-1.75,2.952648734989617,40792.1328125 
-2.25,-1.75,2.947024563659048,41504.51953125 
-2.0,-1.75,-3.002137177222877,41721.88671875 
-1.75,-1.75,-2.959704177554315,41222.4765625 
-1.5,-1.75,-2.9867433971048327,40646.4296875 
-1.25,-1.75,-2.9515280472165624,41104.5859375 
-1.0,-1.75,-2.9471049775414913,42440.13671875 
-0.75,-1.75,2.9962433386069884,42472.203125 
-0.5,-1.75,-3.0090578877356164,40895.07421875 
-0.25,-1.75,-2.9976280109244944,39998.75 
0.0,-1.75,-3.001690007740973,40693.328125 
0.25,-1.75,-2.99408364744727,42146.35546875 
0.5,-1.75,-2.997949144675111,42593.06640625 
0.75,-1.75,-3.000109392851132,41541.2734375 
1.0,-1.75,-3.002037500002173,40152.45703125 
1.25,-1.75,-2.961202611344861,39755.82421875 
1.5,-1.75,-2.9497226438788378,39484.1015625 
1.75,-1.75,-2.950716837119311,39733.92578125 
2.0,-1.75,-3.0015984667497184,40268.48046875 
2.25,-1.75,-2.9601530204505795,40014.765625 
2.5,-1.75,-2.9912448798478577,39173.37890625 
2.75,-1.75,-2.978077283307719,38708.73046875 
3.0,-1.75,-2.956883320686897,39485.6328125 
-3.0,-1.5,-2.9967868058908675,41760.234375 
-2.75,-1.5,-2.990642467763377,40791.546875 
-2.5,-1.5,-2.9614523586014045,40508.75390625 
-2.25,-1.5,-2.9941895820561943,40750.421875 
-2.0,-1.5,-2.9593330566171505,40545.01953125 
-1.75,-1.5,-2.999918782168862,39803.03515625 
-1.5,-1.5,-2.995835920055713,39035.19140625 
-1.25,-1.5,-3.0051525662552185,39799.69140625 
-1.0,-1.5,-2.9556665541582623,41537.8515625 
-0.75,-1.5,-2.9537736346179173,42143.73828125 
-0.5,-1.5,-2.999921393105006,40857.796875 
-0.25,-1.5,-2.960517749153215,40048.0859375 
0.0,-1.5,-2.957415396372725,40588.5 
0.25,-1.5,-3.0000688468942567,41870.359375 
0.5,-1.5,-3.0055614924802754,42464.2265625 
0.75,-1.5,-3.0039324316673506,41709.5078125 
1.0,-1.5,-3.0053643610943044,40564.7578125 
1.25,-1.5,-2.9535435976403037,40204.3125 
1.5,-1.5,-2.9640429370171297,39824.8828125 
1.75,-1.5,-2.9908632435622677,39792.32421875 
2.0,-1.5,-2.960961102444565,40263.140625 
2.25,-1.5,-3.0057517268552725,40174.5625 
2.5,-1.5,-2.9515956929933473,39256.90234375 
2.75,-1.5,-2.9960401431326242,38710.234375 
3.0,-1.5,-2.941735880180254,39263.15625 
-3.0,-1.25,-2.994477281262813,41961.63671875 
-2.75,-1.25,-2.9992690280392806,40965.140625 
