# x,y,theta,scalar_mag 
-3.0,-1.75,-1.7493842181246269,41540.66015625 
-2.75,-1.75,-1.757913939369422,40740.55859375 
-2.5,-1.75,-1.751755274446398,40871.46875 
-2.25,-1.75,-1.758424904657525,41672.69921875 
-2.0,-1.75,-1.707993692553026,42098.8671875 
-1.75,-1.75,-1.7629024132661626,41591.40625 
-1.5,-1.75,-1.7105874494264324,41126.11328125 
-1.25,-1.75,-1.7348083104294896,41551.66015625 
-1.0,-1.75,-1.7121964536530145,42782.8515625 
-0.75,-1.75,-1.7195418624532877,42653.91796875 
-0.5,-1.75,-1.7597275531264558,41205.41796875 
-0.25,-1.75,-1.7616722817063644,40408.03125 
0.0,-1.75,-1.7095997434560344,41196.046875 
0.25,-1.75,-1.7153349671047307,42587.69921875 
0.5,-1.75,-1.7525665829654793,42912.2890625 
0.75,-1.75,-1.7624420910357408,41819.88671875 
1.0,-1.75,-1.7091340698266404,40376.22265625 
1.25,-1.75,-1.7488660573565693,39944.32421875 
1.5,-1.75,-1.718674031361994,39773.5859375 
1.75,-1.75,-1.7627609038755248,39976.93359375 
2.0,-1.75,-1.7130896760626315,40540.6015625 
2.25,-1.75,-1.7152501139082463,40193.6328125 
2.5,-1.75,-1.7125189043698645,39285.61328125 
2.75,-1.75,-1.7478999793956473,38883.3046875 
3.0,-1.75,-1.7518662121941537,39637.64453125 
-3.0,-1.5,-1.427858401989607,41973.80859375 
-2.75,-1.5,-1.710848231825998,40919.87890625 
-2.5,-1.5,-1.7195958018341266,40719.1953125 
-2.25,-1.5,-1.7164050133341995,41029.55859375 
-2.0,-1.5,-1.4256913951058128,40935.1171875 
-1.75,-1.5,-1.7329657968491543,40190.71484375 
-1.5,-1.5,-1.704658230470934,39517.5234375 
-1.25,-1.5,-1.7148276330097736,40154.03125 
-1.0,-1.5,-1.751158899270234,41828.07421875 
-0.75,-1.5,-1.7139396960582842,42375.2421875 
-0.5,-1.5,-1.4317502926316985,41314.4296875 
-0.25,-1.5,-1.3828478986330186,40479.4921875 
0.0,-1.5,-1.7166507356612952,40921.71484375 
0.25,-1.5,-1.7362047303458585,42257.5390625 
0.5,-1.5,-1.736204899121154,42746.9296875 
0.75,-1.5,-1.7177189048756127,41899.2109375 
1.0,-1.5,-1.7557291503966326,40730.09375 
1.25,-1.5,-1.7596798168457848,40379.7265625 
1.5,-1.5,-1.7497614652862583,39975.703125 
1.75,-1.5,-1.7128396848471366,39968.44921875 
2.0,-1.5,-1.7093657492626162,40387.46484375 
2.25,-1.5,-1.7598419953454496,40210.3671875 
2.5,-1.5,-1.7028455606440365,39432.4921875 
2.75,-1.5,-1.7484472802754822,38891.6015625 
3.0,-1.5,-1.3788908241680256,39591.23046875 
-3.0,-1.25,-1.421294423811768,42248.24609375 
-2.75,-1.25,-1.7129797463373038,41111.22265625 
-2.5,-1.25,-1.7128307244016334,40611.37109375 
-2.25,-1.25,-1.7111667263899204,40584.890625 
-2.0,-1.25,-1.714562109612905,39968.92578125 
-1.75,-1.25,-1.7338482373024073,38811.828125 
-1.5,-1.25,-1.7012606846060483,38150.04296875 
-1.25,-1.25,-1.7055595133915422,39291.3828125 
-1.0,-1.25,-1.7541394087091107,41611.98828125 
-0.75,-1.25,-1.3930933877571279,42557.06640625 
-0.5,-1.25,-1.7355955539124035,41419.1015625 
-0.25,-1.25,-1.7493117170725874,40670.19921875 
0.0,-1.25,-1.7476440511044335,41020.578125 
0.25,-1.25,-1.714971412905602,42122.4296875 
0.5,-1.25,-1.7058398228474483,42781.49609375 
0.75,-1.25,-1.7145074729983554,42256.53515625 
1.0,-1.25,-1.7170400814364015,41345.4140625 
1.25,-1.25,-1.7314852618539207,41212.69140625 
1.5,-1.25,-1.7109984320417937,40932.83984375 
1.75,-1.25,-1.7471691542639918,41042.60546875 
2.0,-1.25,-1.7593697389306664,41504.44921875 
2.25,-1.25,-1.7428007273801813,41129.890625 
2.5,-1.25,-1.7092889947331795,39821.2109375 
2.75,-1.25,-1.7459827864546653,38978.76953125 
3.0,-1.25,-1.7463768436943636,39466.05859375 
-3.0,-1.0,-1.3901254901679607,41976.10546875 
-2.75,-1.0,-1.7088000440683144,40675.22265625 
-2.5,-1.0,-1.4100183096165768,40190.84375 
-2.25,-1.0,-1.700874487387209,40210.515625 
-2.0,-1.0,-1.7032432894123475,39504.3046875 
-1.75,-1.0,-1.7418554381734335,37858.54296875 
-1.5,-1.0,-1.7406094761909492,37216.125 
-1.25,-1.0,-1.7466410309211746,39196.421875 
-1.0,-1.0,-1.726785253072565,41817.4765625 
-0.75,-1.0,-1.7462361815522958,41482.9375 
-0.5,-1.0,-1.7364126970609963,40360.5078125 
-0.25,-1.0,-1.7318223076156023,39923.1171875 
0.0,-1.0,-1.747952477441922,40466.8125 
0.25,-1.0,-1.7141271543348682,41891.0234375 
0.5,-1.0,-1.7385519331387103,42547.78515625 
0.75,-1.0,-1.3923602639301933,42222.83203125 
1.0,-1.0,-1.4438598717876197,41634.74609375 
1.25,-1.0,-1.7592375510364278,41553.77734375 
1.5,-1.0,-1.7312104338890042,41461.5390625 
1.75,-1.0,-1.7306863833246042,41932.52734375 
2.0,-1.0,-1.7070851519372736,42604.8828125 
2.25,-1.0,-1.7258683818180363,42105.80078125 
2.5,-1.0,-1.7070953560198305,40659.953125 
2.75,-1.0,-1.7108772779024448,40066.50390625 
3.0,-1.0,-1.7034879140936028,40293.4453125 
-3.0,-0.75,-1.3982956306490804,41696.7265625 
-2.75,-0.75,-1.7501694921725974,40204.85546875 
-2.5,-0.75,-1.7527946621130936,39584.74609375 
-2.25,-0.75,-1.747479995380513,39740.69140625 
-2.0,-0.75,-1.7094354045687916,39046.51953125 
-1.75,-0.75,-1.7532562518902168,37091.359375 
