# x,y,theta,scalar_mag 
-3.0,-1.75,0.13571987004020164,42011.90234375 
-2.75,-1.75,0.17735531815708042,41298.03515625 
-2.5,-1.75,0.13984506344253628,41517.27734375 
-2.25,-1.75,0.1407696124013042,42264.34765625 
-2.0,-1.75,0.13938939303127157,42511.28515625 
-1.75,-1.75,0.1794514540727361,42005.08984375 
-1.5,-1.75,0.17797378687991983,41563.49609375 
-1.25,-1.75,0.20034790347765039,42306.7890625 
-1.0,-1.75,0.17758285932717302,43538.21875 
-0.75,-1.75,0.19215457693013557,43324.47265625 
-0.5,-1.75,0.17200158352533798,41849.62109375 
-0.25,-1.75,0.1391441252211284,41165.51953125 
0.0,-1.75,0.1842820570192787,41940.7734375 
0.25,-1.75,-0.19787530637360148,43110.9921875 
0.5,-1.75,-0.17803450124997397,43449.625 
0.75,-1.75,-0.1719858437107246,42228.203125 
1.0,-1.75,-0.19509615858578544,40887.5546875 
1.25,-1.75,-0.16215951061351663,40453.140625 
1.5,-1.75,-0.15189470290694446,40271.83984375 
1.75,-1.75,-0.1773608288336036,40584.65234375 
2.0,-1.75,0.17090952433243511,41105.69140625 
2.25,-1.75,0.1475031003224777,40788.8984375 
2.5,-1.75,0.14173763971822528,39952.4453125 
2.75,-1.75,0.1513585930491986,39559.5078125 
3.0,-1.75,0.18571267678381442,40463.1796875 
-3.0,-1.5,0.13892804648973542,42296.5703125 
-2.75,-1.5,0.19701706735900626,41384.828125 
-2.5,-1.5,0.12719431790602684,41272.06640625 
-2.25,-1.5,0.1837433818679038,41548.70703125 
-2.0,-1.5,0.17818443221316382,41299.08984375 
-1.75,-1.5,0.13836979198482072,40590.6640625 
-1.5,-1.5,0.14058694238887567,40010.6171875 
-1.25,-1.5,0.1827238780690174,40902.75390625 
-1.0,-1.5,0.13476438946551508,42634.08984375 
-0.75,-1.5,0.18961155821416284,42929.546875 
-0.5,-1.5,0.18149993264803904,41625.4453125 
-0.25,-1.5,0.1448053668928509,41032.265625 
0.0,-1.5,0.20260818480460172,41706.99609375 
0.25,-1.5,0.1452355512413987,42889.421875 
0.5,-1.5,0.16903959960425782,43280.62109375 
0.75,-1.5,0.19416268881777324,42280.9453125 
1.0,-1.5,0.1395352829225319,41265.453125 
1.25,-1.5,0.17579491349664278,40876.046875 
1.5,-1.5,0.18214691035817102,40468.578125 
1.75,-1.5,0.1424029436033571,40542.44140625 
2.0,-1.5,0.19614968868232013,41031.08984375 
2.25,-1.5,0.19585369347808368,40773.3125 
2.5,-1.5,0.1673485444669233,39980.80078125 
2.75,-1.5,-0.14774178451774875,39574.5859375 
3.0,-1.5,-0.19381405473065608,40259.78515625 
-3.0,-1.25,0.15459944868812073,42580.984375 
-2.75,-1.25,0.1410146022016572,41632.86328125 
-2.5,-1.25,0.15754504828859262,41201.65234375 
-2.25,-1.25,0.15548399806769805,41122.953125 
-2.0,-1.25,0.18962637503497945,40374.1015625 
-1.75,-1.25,0.18198490193861547,39223.31640625 
-1.5,-1.25,0.17544520645125436,38695.8046875 
-1.25,-1.25,0.19464330762239404,40140.15625 
-1.0,-1.25,0.14341210182138212,42337.74609375 
-0.75,-1.25,0.14949279322943365,42984.85546875 
-0.5,-1.25,0.15583141629690972,41830.484375 
-0.25,-1.25,-0.1722267830447461,41250.79296875 
0.0,-1.25,-0.1354776927090936,41621.07421875 
0.25,-1.25,-0.16085056460109884,42769.8984375 
0.5,-1.25,-0.17291584550487557,43262.125 
0.75,-1.25,-0.19523191572287316,42661.2421875 
1.0,-1.25,-0.15633026082461024,41853.39453125 
1.25,-1.25,-0.14718452194120418,41740.671875 
1.5,-1.25,-0.1759955733879526,41405.640625 
1.75,-1.25,-0.15640876161508666,41570.40234375 
2.0,-1.25,-0.19074275392083717,42002.31640625 
2.25,-1.25,-0.1533158935194913,41593.65625 
2.5,-1.25,-0.1918866604296477,40247.04296875 
2.75,-1.25,-0.1375851645656204,39588.63671875 
3.0,-1.25,-0.14320801918022796,40202.10546875 
-3.0,-1.0,-0.1929340171581396,42333.203125 
-2.75,-1.0,-0.13915261581976632,41115.0703125 
-2.5,-1.0,-0.15151796731714,40669.74609375 
-2.25,-1.0,-0.1988582095570929,40728.3359375 
-2.0,-1.0,-0.18992600226378104,40019.8359375 
-1.75,-1.0,-0.196201691469074,38442.5625 
-1.5,-1.0,-0.19696426910912754,37836.9375 
-1.25,-1.0,-0.16938743318091473,39912.40234375 
-1.0,-1.0,0.18390174021505148,42419.14453125 
-0.75,-1.0,0.19542346207523062,42047.46875 
-0.5,-1.0,0.15286210281662732,40960.7421875 
-0.25,-1.0,0.15677979839920136,40460.26171875 
0.0,-1.0,0.19693060180870897,41094.49609375 
0.25,-1.0,0.17197000227602477,42543.25 
0.5,-1.0,0.1514495000871442,43114.625 
0.75,-1.0,0.194348465149355,42606.4765625 
1.0,-1.0,0.1393265633709537,42055.0703125 
1.25,-1.0,0.13127819612173244,42115.8046875 
1.5,-1.0,0.1917592197550821,42029.20703125 
1.75,-1.0,0.14802847452980228,42569.5625 
2.0,-1.0,0.20336878118516127,43240.50390625 
2.25,-1.0,0.1500633344046838,42524.1328125 
2.5,-1.0,0.15161742200376974,41211.90234375 
2.75,-1.0,0.17467968845837725,40673.08984375 
3.0,-1.0,0.14215804661134995,40949.01953125 
-3.0,-0.75,0.13835609992714995,42035.9921875 
-2.75,-0.75,0.17816896057128545,40622.89453125 
-2.5,-0.75,0.16923783328431288,40148.2578125 
-2.25,-0.75,0.15059301302734707,40310.3125 
-2.0,-0.75,0.17587903742783617,39437.0546875 
-1.75,-0.75,0.19770893076550472,37553.72265625 
-1.5,-0.75,0.17189210392115434,36367.1015625 
-1.25,-0.75,0.1541380495640191,37302.67578125 
-1.0,-0.75,0.14914982811682734,38375.4140625 
-0.75,-0.75,0.20217261908566728,38650.19921875 
-0.5,-0.75,0.18457655368351725,38754.84375 
-0.25,-0.75,0.18368887921702964,39100.17578125 
0.0,-0.75,0.19447279558792185,40613.796875 
0.25,-0.75,0.1853074382015601,42440.83203125 
0.5,-0.75,0.1700262818403185,43039.9140625 
0.75,-0.75,0.17004820376233762,42429.6796875 
1.0,-0.75,0.14491348780961769,41553.03515625 
1.25,-0.75,0.18847586045841105,41326.1875 
1.5,-0.75,0.14970198568077123,41310.9140625 
1.75,-0.75,0.16529737692362953,42138.234375 
2.0,-0.75,0.14064114702189157,42902.92578125 
2.25,-0.75,0.15844811078115428,42553.56640625 
2.5,-0.75,0.14633870546105454,41836.3203125 
2.75,-0.75,0.1918706708788857,41261.47265625 
3.0,-0.75,0.16005045244580485,41691.8515625 
-3.0,-0.5,0.19495088785605594,42319.49609375 
-2.75,-0.5,0.1866270159984257,41393.625 
-2.5,-0.5,0.16588912524445937,41085.8359375 
-2.25,-0.5,0.18490455289558838,40978.1484375 
-2.0,-0.5,0.13494192608517766,39839.3046875 
-1.75,-0.5,0.19284164292390776,37477.953125 
-1.5,-0.5,0.0010195287904777586,35609.96484375 
-1.25,-0.5,0.0006573313178623507,35609.96484375 
-1.0,-0.5,0.19038738195346097,36558.05859375 
-0.75,-0.5,0.17268186419722537,37647.12890625 
-0.5,-0.5,0.18443347026208212,37847.87109375 
-0.25,-0.5,0.18907844632522497,38641.1328125 
0.0,-0.5,0.14804070089889315,40760.765625 
0.25,-0.5,0.19567004294071053,43128.74609375 
0.5,-0.5,0.17317956643454022,43961.578125 
0.75,-0.5,0.14819148012800418,43004.8515625 
1.0,-0.5,0.16966003330822527,41400.7578125 
1.25,-0.5,0.14917192468870835,40672.4765625 
1.5,-0.5,0.1706978452556798,40785.76953125 
1.75,-0.5,0.15400447344528354,41576.7265625 
2.0,-0.5,0.14221650569777416,41985.234375 
2.25,-0.5,0.1463340424026029,41718.64453125 
2.5,-0.5,0.14196005282957555,41321.94140625 
2.75,-0.5,0.17587203852081376,41481.9765625 
3.0,-0.5,0.19470485229470544,42890.64453125 
-3.0,-0.25,0.16848762965706413,42256.3046875 
-2.75,-0.25,0.15506579771321072,42078.234375 
-2.5,-0.25,0.14239115684539116,42553.5546875 
-2.25,-0.25,0.187216097982387,42325.83984375 
-2.0,-0.25,0.15024000988339928,40772.23828125 
-1.75,-0.25,0.1708662078357928,37770.91796875 
-1.5,-0.25,0.0037607411570082707,35605.7734375 
-1.25,-0.25,-0.0021347676613473793,35605.7734375 
-1.0,-0.25,-0.14588916836689506,37022.85546875 
-0.75,-0.25,-0.14306843288416224,38220.1875 
-0.5,-0.25,-0.14880588037084105,37820.3046875 
-0.25,-0.25,-0.185193562867588,38782.76953125 
0.0,-0.25,-0.15198810445250238,41409.34765625 
0.25,-0.25,-0.13998917110386955,44153.8359375 
0.5,-0.25,-0.16740927328022387,45068.359375 
0.75,-0.25,-0.190439593713879,43850.21875 
1.0,-0.25,-0.1410490740915779,41902.74609375 
1.25,-0.25,-0.17732933460925832,40932.1640625 
1.5,-0.25,-0.14783946602950215,41170.69140625 
1.75,-0.25,-0.15148626695326173,41936.9609375 
2.0,-0.25,-0.1420080214041379,41500.2890625 
2.25,-0.25,-0.15656162640680943,40648.171875 
2.5,-0.25,-0.14457058640119871,41114.16015625 
2.75,-0.25,-0.15060704107567296,41938.6015625 
3.0,-0.25,-0.172912899981026,43739.640625 
-3.0,0.0,-0.1443467035265205,42396.74609375 
-2.75,0.0,-0.14799773756790097,42240.890625 
